max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,Year_of_Release,artist,category,designer,expansion,publisher,average_rating,users_rated,principal_category,secondary_category,other_category,WeightedAverage
4,45,10,2,30,Risk: Star Wars Edition,45,2015,unknown,"Dice,Movies / TV / Radio theme,Science Fiction,Wargame","James D'Aloisio,Austin Rucker,Craig Van Ness",no,Hasbro,7.22963,2028,Dice,Movies / TV / Radio theme,"Science Fiction,Wargame",7.060474417216386
6,30,8,2,15,Goblin Dice,30,2015,Konstantin Porubov,"Action / Dexterity,Dice,Fantasy,Party Game,Racing",Mikhail Bazylevich,no,"Foxgames (Poland),GaGa Games",6.005,50,Action / Dexterity,Dice,"Fantasy,Party Game,Racing",6.3407994304054975
6,30,8,2,5,Firefly Fluxx,30,2016,Adam Levermore,Card Game,Andrew Looney,yes,Looney Labs,6.76328,399,Card Game,,,6.546983767211372
4,30,8,1,15,Aloha Pioha,30,2016,Paco Dana,"Animals,Bluffing,Card Game,Memory,Print & Play","Israel Cendrero,Sheila Santos",no,Ediciones Primigenio,6.83934,121,Animals,Bluffing,"Card Game,Memory,Print & Play",6.46497556638168
4,30,0,2,10,Latice,30,2015,unknown,Abstract Strategy,Brent Vincent,no,Adacio,7.14,97,Abstract Strategy,,,6.498776694678431
5,45,10,3,30,Perfect Alibi,45,2015,Gjermund Bohne,"Deduction,Murder/Mystery",Kristian Amundsen Østby,no,"Lautapelit.fi,Vennerød Forlag AS",6.52034,118,Deduction,Murder/Mystery,,6.402248878192595
6,45,14,2,20,ManaSurge,45,2016,Zulkarnaen Hasan Basri,"Card Game,Fantasy,Number",Frank Sronce,yes,Daily Magic Games,6.861,100,Card Game,Fantasy,Number,6.455482811205039
5,5,0,1,5,Flash Duel: Revised Second Edition,5,2015,unknown,"Card Game,Fantasy,Fighting",David Sirlin,no,Sirlin Games,7.5641,78,Card Game,Fantasy,Fighting,6.5349299078253
4,15,10,1,15,Justice League: Hero Dice – Batman,15,2015,"Marina Fahrenbach,Sabine Machaczek",Dice,Andreas Schmidt,no,"Ghenos Games,Heidelberger Spieleverlag",6.71705,166,Dice,,,6.45978976985439
1,25,10,1,15,Justice League: Hero Dice – Superman,25,2015,Marina Fahrenbach,Dice,Andreas Schmidt,yes,"Ghenos Games,Heidelberger Spieleverlag",6.92704,142,Dice,,,6.4966189512819685
18,720,12,5,360,Mega Civilization,720,2015,Franz Vohwinkel,"Ancient,Civilization,Economic,Negotiation","Flo de Haan,John Rodriguez,Francis Tresham",no,"999 Games,Pegasus Spiele",8.38678,550,Ancient,Civilization,"Economic,Negotiation",7.428493987355261
5,120,12,2,45,Ave Roma,120,2016,"Gyula Pozsgay,Attila Szőgyi","Ancient,Civilization,Economic",Attila Szőgyi,yes,A-games (Board Game),7.39293,403,Ancient,Civilization,Economic,6.828948479206005
4,30,10,2,30,Back to the Future: An Adventure Through Time,30,2016,Andy Parisi,Movies / TV / Radio theme,"Ben Pinchback,Matt Riddle",yes,"IDW Games,Pandasaurus Games,uplay.it edizioni",6.17946,92,Movies / TV / Radio theme,,,6.344087849194296
127,0,10,1,30,Alchemidus,0,2015,Jun Kondo,unknown,Shimpei Sato,no,conception,6.53008,65,,,,6.392291834908006
5,90,10,1,30,Mystery! Motive for Murder,90,2015,Edward Gorey,"Movies / TV / Radio theme,Murder/Mystery",Bruce Glassco,no,Mayfair Games,5.21557,61,Movies / TV / Radio theme,Murder/Mystery,,6.248376928205033
6,5,10,3,5,Spaceteam,5,2015,"Sergey Grigoryan,Mathew Sisson","Card Game,Real-time,Science Fiction,Space Exploration","Tim Hutchings,Mathew Sisson",yes,Timber & Bolt,6.77951,426,Card Game,Real-time,"Science Fiction,Space Exploration",6.5607569619039126
